app-server/src/config/mod.rs:1	A small gate opens; external agents find their room in the crate.
apply-patch/tests/fixtures/scenarios/.gitattributes:1	All paths drink the same linefeed; the patch garden keeps one weather.
apply-patch/tests/fixtures/scenarios/001_add_file/expected/bar.md:1	A first page lifts its latch; new words step into daylight.
apply-patch/tests/fixtures/scenarios/002_multiple_operations/expected/nested/new.txt:1	A small made thing appears where the nested path was waiting.
apply-patch/tests/fixtures/scenarios/002_multiple_operations/input/delete.txt:1	The old tag dims; deletion has already rehearsed its exit.
apply-patch/tests/fixtures/scenarios/004_move_to_new_directory/expected/old/other.txt:1	Beside the move, a quiet file keeps its own name warm.
apply-patch/tests/fixtures/scenarios/004_move_to_new_directory/expected/renamed/dir/name.txt:1	The renamed room receives a fresher voice and calls it home.
apply-patch/tests/fixtures/scenarios/004_move_to_new_directory/input/old/name.txt:1	Old content folds its coat before the path learns a new address.
apply-patch/tests/fixtures/scenarios/004_move_to_new_directory/input/old/other.txt:1	Unmoved by ceremony, the neighboring file holds steady.
apply-patch/tests/fixtures/scenarios/005_rejects_empty_patch/expected/foo.txt:1	Stable waits unchanged, proof that nothingness made no dent.
apply-patch/tests/fixtures/scenarios/005_rejects_empty_patch/input/foo.txt:1	Stable begins the trial with both feet planted in plain soil.
apply-patch/tests/fixtures/scenarios/007_rejects_missing_file_delete/expected/foo.txt:1	Stable remains after the absent target fails to vanish.
apply-patch/tests/fixtures/scenarios/007_rejects_missing_file_delete/input/foo.txt:1	Stable stands before the phantom delete knocks on no door.
apply-patch/tests/fixtures/scenarios/008_rejects_empty_update_hunk/expected/foo.txt:1	Stable survives the hollow hunk and keeps its single note.
apply-patch/tests/fixtures/scenarios/008_rejects_empty_update_hunk/input/foo.txt:1	Stable enters the empty hunk with no reason to bend.
apply-patch/tests/fixtures/scenarios/009_requires_existing_file_for_update/expected/foo.txt:1	Stable marks the known ground where updates are allowed to land.
apply-patch/tests/fixtures/scenarios/009_requires_existing_file_for_update/input/foo.txt:1	Stable offers the existing page, a real place for change to ask.
apply-patch/tests/fixtures/scenarios/010_move_overwrites_existing_destination/expected/old/other.txt:1	The bystander file stays clear while overwrite thunder passes.
apply-patch/tests/fixtures/scenarios/010_move_overwrites_existing_destination/expected/renamed/dir/name.txt:1	New arrives at the destination and covers yesterday's claim.
apply-patch/tests/fixtures/scenarios/010_move_overwrites_existing_destination/input/old/name.txt:1	From is the arrow's tail, brief and ready to travel.
apply-patch/tests/fixtures/scenarios/010_move_overwrites_existing_destination/input/old/other.txt:1	Unrelated file hums beside the route, untouched by the move.
apply-patch/tests/fixtures/scenarios/010_move_overwrites_existing_destination/input/renamed/dir/name.txt:1	Existing waits in the doorway, soon to yield its sign.
apply-patch/tests/fixtures/scenarios/011_add_overwrites_existing_file/expected/duplicate.txt:1	New content takes the duplicate name and makes it clean again.
apply-patch/tests/fixtures/scenarios/011_add_overwrites_existing_file/input/duplicate.txt:1	Old content keeps the first claim before addition rewrites the room.
apply-patch/tests/fixtures/scenarios/012_delete_directory_fails/expected/dir/foo.txt:1	Stable stays nested when the directory refuses to disappear.
apply-patch/tests/fixtures/scenarios/012_delete_directory_fails/input/dir/foo.txt:1	Stable waits inside the folder, testing the delete command's reach.
apply-patch/tests/fixtures/scenarios/013_rejects_invalid_hunk_header/expected/foo.txt:1	Stable is the answer when a crooked header loses its way.
apply-patch/tests/fixtures/scenarios/013_rejects_invalid_hunk_header/input/foo.txt:1	Stable faces the malformed map and does not follow it.
apply-patch/tests/fixtures/scenarios/014_update_file_appends_trailing_newline/input/no_newline.txt:1	No newline at end, a sentence holding its final breath.
apply-patch/tests/fixtures/scenarios/015_failure_after_partial_success_leaves_changes/expected/created.txt:1	Hello remains, a partial success waving from the shore.
apply-patch/tests/fixtures/scenarios/017_whitespace_padded_hunk_header/expected/foo.txt:1	New slips through padded spaces and still finds the mark.
apply-patch/tests/fixtures/scenarios/017_whitespace_padded_hunk_header/input/foo.txt:1	Old stands before the padded header trims its disguise.
apply-patch/tests/fixtures/scenarios/018_whitespace_padded_patch_markers/expected/file.txt:1	Two answers after the markers shed their extra snow.
apply-patch/tests/fixtures/scenarios/018_whitespace_padded_patch_markers/input/file.txt:1	One begins before padded markers teach the file to count again.
apply-patch/tests/fixtures/scenarios/020_delete_file_success/expected/keep.txt:1	Keep is the small survivor after deletion closes another door.
apply-patch/tests/fixtures/scenarios/020_delete_file_success/input/keep.txt:1	Keep starts intact, the line chosen to remain.
apply-patch/tests/fixtures/scenarios/020_delete_file_success/input/obsolete.txt:1	Obsolete names itself softly before the successful removal.
apply-patch/tests/fixtures/scenarios/020_whitespace_padded_patch_marker_lines/expected/file.txt:1	Two emerges when padded patch markers are read correctly.
apply-patch/tests/fixtures/scenarios/020_whitespace_padded_patch_marker_lines/input/file.txt:1	One waits at the beginning, simple as an unopened patch.
bwrap/config.h:1	A package string is stamped on the wrapper, naming its Codex-forged shell.
code-mode-host/src/main.rs:1	An empty main opens and closes, a host that proves it can stand.
core/src/context/permissions_instructions.rs:1	Permissions instructions cross the crate border, carrying their borrowed lamp.
core/src/function_tool.rs:1	The function tool offers one error type, a sharp name passed hand to hand.
core/src/utils/mod.rs:1	The utils door swings toward paths, one small module sign above it.
core/src/utils/path_utils.rs:1	Path helpers pour outward, every utility star exported in a single breath.
mcp-server/tests/suite/mod.rs:1	The suite gathers the Codex tool under one quiet module roof.
memories/read/src/metrics.rs:1	A metric name is strung like a bell for memory usage to ring.
prompts/templates/permissions/approval_policy/never.md:1	Never means the sandbox gate stays shut, even when commands ask loudly.
prompts/templates/permissions/approval_policy/on_failure.md:1	On failure, the command learns to ask after the sandbox says no.
prompts/templates/permissions/approval_policy/unless_trusted.md:1	Unless trusted, the shell lifts its hand and waits for human consent.
prompts/templates/permissions/sandbox_mode/danger_full_access.md:1	Full access removes the fence; the line names the open field plainly.
prompts/templates/permissions/sandbox_mode/read_only.md:1	Read-only leaves every file visible but lets no edits take root.
prompts/templates/permissions/sandbox_mode/workspace_write.md:1	Workspace-write marks the garden beds where changes may safely grow.
state/migrations/0005_threads_cli_version.sql:1	The threads table receives a CLI version, a timestamp without time.
state/migrations/0022_threads_agent_path.sql:1	An agent path is added so each thread can remember its trail.
state/migrations/0030_threads_thread_source.sql:1	Thread source becomes a column, origin given a seat at the table.
state/migrations/0031_drop_device_key_bindings.sql:1	Device key bindings fall away if present, an old lock swept clean.
state/migrations/0034_drop_thread_goals.sql:1	Thread goals drop from storage, leaving the table lighter than before.
tui/src/public_widgets/mod.rs:1	The public widget room names composer input as its first resident.
utils/cargo-bin/repo_root.marker:1	A blank marker says nothing and still points home.
vendor/bubblewrap/.dir-locals.el:1	Editor habits settle in Lisp, teaching C files the GNU posture.
vendor/bubblewrap/demos/flatpak.bpf:1	Binary policy murmurs in nulls and opcodes, a filter folded tight.
vendor/bubblewrap/tests/use-as-subproject/config.h:1	The subproject warns: do not borrow the parent's generated mask.
vendor/bubblewrap/tests/use-as-subproject/dummy-config.h.in:1	The dummy config raises its hand against the superproject's shadow.
apply-patch/tests/fixtures/scenarios/002_multiple_operations/expected/modify.txt:1	The first line keeps its place before the change announces itself.
apply-patch/tests/fixtures/scenarios/002_multiple_operations/expected/modify.txt:2	Changed steps in second, proof the patch touched exactly here.
apply-patch/tests/fixtures/scenarios/002_multiple_operations/input/modify.txt:1	Line one waits as the fixture's anchor.
apply-patch/tests/fixtures/scenarios/002_multiple_operations/input/modify.txt:2	Line two follows, still unaltered before the patch arrives.
apply-patch/tests/fixtures/scenarios/005_rejects_empty_patch/patch.txt:1	The patch curtain rises with three stars and a command.
apply-patch/tests/fixtures/scenarios/005_rejects_empty_patch/patch.txt:2	The curtain falls at once, emptiness sealed between markers.
apply-patch/tests/fixtures/scenarios/006_rejects_missing_context/expected/modify.txt:1	Line one survives the missing context's failed reach.
apply-patch/tests/fixtures/scenarios/006_rejects_missing_context/expected/modify.txt:2	Line two remains beside it, untouched by the bad map.
apply-patch/tests/fixtures/scenarios/006_rejects_missing_context/input/modify.txt:1	Line one starts the context that the patch will misremember.
apply-patch/tests/fixtures/scenarios/006_rejects_missing_context/input/modify.txt:2	Line two completes the pair before rejection protects it.
apply-patch/tests/fixtures/scenarios/014_update_file_appends_trailing_newline/expected/no_newline.txt:1	First line receives the newline that the old file denied.
apply-patch/tests/fixtures/scenarios/014_update_file_appends_trailing_newline/expected/no_newline.txt:2	Second line closes the repaired ending with a calmer breath.
apply-patch/tests/fixtures/scenarios/016_pure_addition_update_chunk/input/input.txt:1	Line one opens the pure addition's small stage.
apply-patch/tests/fixtures/scenarios/016_pure_addition_update_chunk/input/input.txt:2	Line two gives the addition a second rung to climb.
apply-patch/tests/fixtures/scenarios/021_update_file_deletion_only/expected/lines.txt:1	Line one remains after the middle is lifted away.
apply-patch/tests/fixtures/scenarios/021_update_file_deletion_only/expected/lines.txt:2	Line three moves closer, the gap now cleanly closed.
apply-patch/tests/fixtures/scenarios/022_update_file_end_of_file_marker/expected/tail.txt:1	First keeps its lead while the end marker watches.
apply-patch/tests/fixtures/scenarios/022_update_file_end_of_file_marker/expected/tail.txt:2	Second updated turns the tail into fresh evidence.
apply-patch/tests/fixtures/scenarios/022_update_file_end_of_file_marker/input/tail.txt:1	First begins the tail before the marker has spoken.
apply-patch/tests/fixtures/scenarios/022_update_file_end_of_file_marker/input/tail.txt:2	Second waits as the old ending, ready to be renamed.
chatgpt/tests/suite/mod.rs:1	A suite comment gathers scattered tests into one hallway.
chatgpt/tests/suite/mod.rs:2	The apply command module steps under the shared roof.
core/src/apps/mod.rs:1	Only tests see this gate swing open.
core/src/apps/mod.rs:2	Render waits behind the test gate, a small private stage.
core/src/mention_syntax.rs:1	The plugin mention sigil is handed outward, the glyph that names an app.
core/src/mention_syntax.rs:2	The tool mention sigil follows, a mark for callable craft.
core/src/original_image_detail.rs:1	Original image detail asks whether the full view may be fetched.
core/src/original_image_detail.rs:2	Sanitizing image detail trims the request to what is allowed.
login/src/auth/error.rs:1	The refresh-token error crosses crates carrying the failure's name.
login/src/auth/error.rs:2	The reason follows, giving the failure a sharper face.
otel/src/events/mod.rs:1	Session telemetry receives its module, where traces learn the turn.
otel/src/events/mod.rs:2	Shared event pieces wait beside it, common timber for spans.
prompts/src/compact.rs:1	The summarization prompt is bound at compile time from its hidden page.
prompts/src/compact.rs:2	The summary prefix is included too, a small preface for compressed memory.
state/migrations/0009_stage1_outputs_rollout_slug.sql:1	Stage-one outputs are called to the workbench.
state/migrations/0009_stage1_outputs_rollout_slug.sql:2	A rollout slug column gives each output a release-name trail.
state/migrations/0013_threads_agent_nickname.sql:1	Threads gain an agent nickname, a softer name beside the id.
state/migrations/0013_threads_agent_nickname.sql:2	Threads gain an agent role, a job title stored in plain text.
state/migrations/0015_agent_jobs_max_runtime_seconds.sql:1	Agent jobs are opened for one more setting.
state/migrations/0015_agent_jobs_max_runtime_seconds.sql:2	Max runtime seconds becomes the job's measured fuse.
state/migrations/0016_memory_usage.sql:1	Stage-one outputs start counting how often memory is used.
state/migrations/0016_memory_usage.sql:2	Last usage joins the table, a footprint of the latest return.
state/migrations/0017_phase2_selection_flag.sql:1	Stage-one outputs are summoned again for phase-two choosing.
state/migrations/0017_phase2_selection_flag.sql:2	Selected for phase two begins false, a flag asleep at zero.
state/migrations/0019_thread_dynamic_tools_defer_loading.sql:1	Thread dynamic tools line up for deferred loading.
state/migrations/0019_thread_dynamic_tools_defer_loading.sql:2	Defer loading arrives as an integer promise to wait.
state/migrations/0020_threads_model_reasoning_effort.sql:1	Threads gain a model column, naming the mind that answered.
state/migrations/0020_threads_model_reasoning_effort.sql:2	Reasoning effort joins it, a stored trace of how hard to think.
state/migrations/0026_thread_dynamic_tools_namespace.sql:1	Thread dynamic tools open space for a namespace.
state/migrations/0026_thread_dynamic_tools_namespace.sql:2	Namespace enters as text, a label around the tool's name.
state/migrations/0027_threads_cwd_sort_indexes.sql:1	An archived-cwd-created index braids place, time, and id for search.
